citation_type,court_code,CountryId,CourtId,CourtName,country,country1_spa,country2_spa,country3_spa_official,country_adj_spa,country_adj_spa2,court_eng1,court_eng2,court_loc1,court_loc2,court_spa1,court_spa2
1,1,1,1,Supreme Court,Afghanistan,Afganistán,,República Islámica de Afganistán,afgana,,Supreme Court ,,Stera Mahkama,,Corte Suprema de Justicia,Suprema Corte de Justicia
1,9,1,2,Other or unspecified court,Afghanistan,Afganistán,,República Islámica de Afganistán,afgana,,Other or unspecified court,,,,,
1,1,2,3,Constitutional Court,Albania,Albania,,República de Albania,albanesa,,Constitutional Court,,Gjykata e Lartë,,Tribunal Constitucional,
1,9,2,4,Other or unspecified court,Albania,Albania,,República de Albania,albanesa,,Other or unspecified court,,,,Tribunal Supremo,
1,1,3,5,Supreme court,Algeria,Argelia,,República Democrática Popular de Argelia,argelina,,Supreme court,,Cour Suprême,,Corte Suprema,
1,9,3,6,Other or unspecified court,Algeria,Argelia,,República Democrática Popular de Argelia,argelina,,Other or unspecified court,,,,,
1,1,4,7,High Court,American Samoa,Samoa Americana,,Territorio de la Samoa Americana,samoana,,High Court,,,,Alta Corte,
1,9,4,8,Other or unspecified court,American Samoa,Samoa Americana,,Territorio de la Samoa Americana,samoana,,Other or unspecified court,,,,,
1,3,5,9,Supreme Court of Justice of Andorra,Andorra,Andorra,,Principado de Andorra,andorrana,,Supreme Court of Justice of Andorra ,,Tribunal Superior de Justicia d'Andorra,,Suprema Corte de Justicia de Andorra,
1,9,5,10,Other or unspecified court,Andorra,Andorra,,Principado de Andorra,andorrana,,Other or unspecified court,,,,,
1,1,6,11,Constitutional Court,Angola,Angola,,República de Angola,angoleña,angolana,Constitutional Court,,Tribunal Constitucional,,Corte Constitucional,Tribunal Constitucional
1,2,6,12,Supreme Court,Angola,Angola,,República de Angola,angoleña,angolana,Supreme Court ,,Tribunal Supremo,,Tribunal Supremo ,Suprema Corte
1,9,6,13,Other court,Angola,Angola,,República de Angola,angoleña,angolana,Other or unspecified court,,,,,
1,1,7,14,Supreme Court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,Supreme Court,,,,Corte Suprema de Justicia,Suprema Corte de Justicia
1,2,7,15,High Court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,High Court,,,,Corte Supreior,
1,3,7,16,Appeals Court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,Appeals Court,,,,Corte de Apelaciones,Corte de Apelación
1,9,7,18,Other court,Antigua and Barbuda,Antigua y Barbuda,,Antigua y Barbuda,antiguana,,Other or unspecified court,,,,,
1,1,8,19,Supreme Court of Justice,Argentina,Argentina,,República Argentina,argentina,,Supreme Court of Justice,,Corte Suprema de Justicia,,Corte Suprema de Justicia de la Nación,
1,9,8,20,Other or unspecified court,Argentina,Argentina,,República Argentina,argentina,,Other or unspecified court,,,,,
1,1,9,21,Constitutional Court,Armenia,Armenia,,República de Armenia,armenia,,Constitutional Court,,,,Tribunal Constitucional,Corte Constitucional
1,2,9,22,Appeals Court (Court of Cassation),Armenia,Armenia,,República de Armenia,armenia,,Appeals Court ,Court of Cassation,,,Tribunal de Casación,Corte de Casación
1,9,9,23,Other court,Armenia,Armenia,,República de Armenia,armenia,,Other or unspecified court,,,,,
1,1,10,24,Joint High Court of Justice,Aruba,Aruba,,Aruba,arubense,,Joint High Court of Justice,,,,Tribunal Conjunto de Apelaciones de las Antillas Neerlandesas y Aruba,
1,2,10,25,Common Court of Justice,Aruba,Aruba,,Aruba,arubense,,Common Court of Justice,,,,Tribunlal Común de Justicia,Corte de Justicia Común
1,9,10,27,Other court,Aruba,Aruba,,Aruba,arubense,,Other or unspecified court,,,,,
1,1,11,28,High Court of Australia,Australia,Australia,,Mancomunidad de Australia,australiana,,High Court of Australia,,,,Corte Suprema,
1,9,11,29,Other or unspecified court,Australia,Australia,,Mancomunidad de Australia,australiana,,Other or unspecified court,,,,,
1,1,12,30,Constitutional Court,Austria,Austria,,República de Austria,austríaca,,Constitutional Court ,,Verfassungsgerichtshof,,Tribunal Constitucional,
1,2,12,31,Supreme Judicial Court,Austria,Austria,,República de Austria,austríaca,,Supreme Judicial Court  ,,Oberster Gerichtshof,,Tribunal Supremo,
1,9,12,32,Other and unspecified court,Austria,Austria,,República de Austria,austríaca,,Other or unspecified court,,,,,
1,1,13,33,Constitutional Court,Azerbaijan,Azerbaiyán,,República de Azebaiyán,azerbaiyana,,Constitutional Court,,,,Tribunal Constitucional,
1,2,13,34,Supreme Court,Azerbaijan,Azerbaiyán,,República de Azebaiyán,azerbaiyana,,Supreme Court,,Ali M?hk?m?sinin,,Tribunal Supremo,
1,9,13,35,Other court,Azerbaijan,Azerbaiyán,,República de Azebaiyán,azerbaiyana,,Other or unspecified court,,,,,
1,1,14,36,Privy Council in London,Bahamas,Bahamas,,Mancomunidad delas  Bahamas,bahameña,,Privy Council in London,,,,Comité Judicial del Consejo Privado,
1,2,14,37,Appeals Court (Court of Cassation),Bahamas,Bahamas,,Mancomunidad delas  Bahamas,bahameña,,Appeals Court ,Court of Cassation,,,Corte de Apelaciones,
1,9,14,41,Other court,Bahamas,Bahamas,,Mancomunidad delas  Bahamas,bahameña,,Other or unspecified court,,,,,
1,1,15,42,Supreme Court of Appeal  (Court of Cassation),Bahrain,Bahréin,Baréin,Reino de Baréin,bahreiní,,Supreme Court of Appeal  ,Court of Cassation,,,Corte Suprema de Apelaciones,Tribunal Supremo de Apelaciones
1,9,15,43,Other court,Bahrain,Bahréin,Baréin,Reino de Baréin,bahreiní,,Other or unspecified court,,,,,
1,1,16,44,Supreme Court,Bangladesh,Bangladesh,Bangladés,República Popular de Bangladés,bangladesí,,Supreme Court,,,,Tribunal Supremo,Corte Suprema
1,9,16,45,Other court,Bangladesh,Bangladesh,Bangladés,República Popular de Bangladés,bangladesí,,Other or unspecified court,,,,,
1,1,17,46,Supreme Court,Barbados,Barbados,,Barbados,barbadense,,Supreme Court,,,,Tribunal Supremo,
1,2,17,47,High Court,Barbados,Barbados,,Barbados,barbadense,,High Court,,,,Tribunal Alto,
1,3,17,48,Court of Appeal,Barbados,Barbados,,Barbados,barbadense,,Court of Appeal,,,,Corte de Apelaciones,
1,9,17,50,Other court,Barbados,Barbados,,Barbados,barbadense,,Other or unspecified court,,,,,
1,1,18,51,Supreme Court,Belarus,Bielorrusia,,República de Bielorrusia,bielorrusa,,Supreme Court,,,,Tribunal Supremo,
1,2,18,52,Constitutional Court,Belarus,Bielorrusia,,República de Bielorrusia,bielorrusa,,Constitutional Court,,,,Tribunal Constitucional,
1,9,18,53,Other court,Belarus,Bielorrusia,,República de Bielorrusia,bielorrusa,,Other or unspecified court,,,,,
1,1,19,54,Constitutional Court,Belgium,Bélgica,,Reino de Bélgica,belga,,Constitutional Court ,,Cour d'Arbitrage,Arbitragehof,Tribunal constitucional,Tribunal de arbitraje
1,2,19,55,Supreme Court of Justice,Belgium,Bélgica,,Reino de Bélgica,belga,,Supreme Court of Justice ,,Cour de Cassation  ,Hof van Cassatie ,Tribunal de Casación,
1,9,19,56,Other court,Belgium,Bélgica,,Reino de Bélgica,belga,,Other or unspecified court,,,,,
1,1,20,57,Supreme Court,Belize,Belice,,Belice,beliceña,,Supreme Court,,,,Tribunal supremo,
1,2,20,58,Appeals Court,Belize,Belice,,Belice,beliceña,,Appeals Court,,,,Tribunal de apelaciones,
1,9,20,59,Other court,Belize,Belice,,Belice,beliceña,,Other or unspecified court,,,,,
1,1,21,60,High Court of Justice,Benin,Benín,,República de Benin,beninesa,,Constitutional Court ,,Cour Constitutionnelle,,Tribunal Constitucional,Corte Constitucional
1,2,21,61,Supreme Court,Benin,Benín,,República de Benin,beninesa,,Supreme Court  ,,Cour Suprême,,Tribunal Supremo,Corte Suprema
1,3,21,62,Constitutional Court,Benin,Benín,,República de Benin,beninesa,,High Court of Justice,,Haute Cour de Justice,,Alto Tribunal de Justicia,
1,9,21,63,Other court,Benin,Benín,,República de Benin,beninesa,,Other or unspecified court,,,,,
1,1,22,64,Supreme Court,Bermuda,Bermudas,,Bermudas,bermudeña,,Supreme Court,,,,Corte Suprema,
1,2,22,65,Court of Appeal,Bermuda,Bermudas,,Bermudas,bermudeña,,Court of Appeal,,,,Corte de Apelaciones,
1,9,22,66,Other court,Bermuda,Bermudas,,Bermudas,bermudeña,,Other or unspecified court,,,,,
1,1,23,67,Supreme Court,Bhutan,Bután,,Reino de Bután,butanesa,,Supreme Court ,,,,Tribunal Supremo,
1,2,23,68,High Court,Bhutan,Bután,,Reino de Bután,butanesa,,High Court,,,,Tribunal Superior de Justicia,Tribunal de Apelaciones
1,9,23,69,Other court,Bhutan,Bután,,Reino de Bután,butanesa,,Other or unspecified court,,,,,
1,1,24,70,Plurinational Constitutional Tribunal,Bolivia,Bolivia,,Estado Plurinacional de Bolivia,boliviana,,Plurinational Constitutional Tribunal,,Tribunal Constitucional Nacional,,Tribunal Constitucional Plurinacional,
1,2,24,71,Supreme Court,Bolivia,Bolivia,,Estado Plurinacional de Bolivia,boliviana,,Supreme Court ,,Tribunal Supremo de Justicia,,Tribunal Supremo de Justicia,
1,9,24,72,Other court,Bolivia,Bolivia,,Estado Plurinacional de Bolivia,boliviana,,Other or unspecified court,,,,,
1,1,25,73,Constitutional Court,Bosnia and Herzegovina,Bosnia-Herzegovina,Bosnia y Herzegovina,Bosnia y Herzegovina,bosnia,,Constitutional Court,,Ustavni Sud Bosne I Hercegovine,,Tribunal Constitucional ,
1,2,25,74,Supreme Court,Bosnia and Herzegovina,Bosnia-Herzegovina,Bosnia y Herzegovina,Bosnia y Herzegovina,bosnia,,Supreme Court,,Sud Bosne I Hercegovine,,Tribunal Supremo de Justicia,
1,9,25,75,Other court,Bosnia and Herzegovina,Bosnia-Herzegovina,Bosnia y Herzegovina,Bosnia y Herzegovina,bosnia,,Other or unspecified court,,,,,
1,1,26,76,High Court,Botswana,Botswana,Botsuana,República de Botsuana,botsuanesa,,High Court,,,,Tribunal Superior,Alta Corte
1,2,26,77,Appeals Court,Botswana,Botswana,Botsuana,República de Botsuana,botsuanesa,,Appeals Court,,,,Corte de Apelaciones,
1,9,26,78,Other court,Botswana,Botswana,Botsuana,República de Botsuana,botsuanesa,,Other or unspecified court,,,,,
1,1,27,79,Supreme Federal Court,Brazil,Brasil,,República Federativa del Brasil,brasileña,brasilera,Supreme Federal Court ,,Supremo Tribunal Federal,,Tribunal Supremo Federal,
1,2,27,80,Higher Court of Justice,Brazil,Brasil,,República Federativa del Brasil,brasileña,brasilera,Higher Court of Justice,,Tribunal de Justiça,,Tribunal de Justicia,
1,9,27,81,Other court,Brazil,Brasil,,República Federativa del Brasil,brasileña,brasilera,Other or unspecified court,,,,,
1,1,28,82,Supreme Court,Brunei Darussalam,Brunei Darussalam,"Estado de Brunei, Morada de la Paz",Estado de Brunei Darussalam,bruneana,,Supreme Court,,,,Suprema Corte,
1,2,28,83,Judicial Committee of Privy Council in London,Brunei Darussalam,Brunei Darussalam,"Estado de Brunei, Morada de la Paz",Estado de Brunei Darussalam,bruneana,,Judicial Committee of Privy Council  ,,,,Comité Judicial del Consejo Privado,
1,9,28,85,Other court,Brunei Darussalam,Brunei Darussalam,"Estado de Brunei, Morada de la Paz",Estado de Brunei Darussalam,bruneana,,Other or unspecified court,,,,,
1,1,29,86,Supreme Court of Cassation,Bulgaria,Bulgaria,,República de Bulgaria,búlgara,,Supreme Court of Cassation,, ,,Tribunal Supremo de Casación,
1,9,29,87,Other court,Bulgaria,Bulgaria,,República de Bulgaria,búlgara,,Other or unspecified court,,,,,
1,1,30,88,Constitutional Council,Burkina Faso,Burkina Faso,,Burkina Faso,burkinesa,,Constitutional Council,,Conseil d'Etat,,Tribunal Constitucional,Consejo Constitucional
1,2,30,89,Supreme Court of Appeals,Burkina Faso,Burkina Faso,,Burkina Faso,burkinesa,,Supreme Court of Appeals,,Cour de Cassation,,Corte Suprema de Apelaciones,
1,9,30,90,Other court,Burkina Faso,Burkina Faso,,Burkina Faso,burkinesa,,Other or unspecified court,,,,,
1,1,31,91,Constitutional Court,Burundi,Burundi,,República de Burundi,burundesa,,Constitutional Court,,Cour constitutionnelle,,Corte Constitucional,Tribunal Constitucional
1,2,31,92,Supreme Court,Burundi,Burundi,,República de Burundi,burundesa,,Supreme Court,,Cour Suprême,,Corte Suprema,Tribunal Supremo
1,3,31,93,High Court of Justice,Burundi,Burundi,,República de Burundi,burundesa,,High Court of Justice,,Haute Cour de justice,,Alto Tribunal de Justicia,Alta Corte
1,9,31,94,Other court,Burundi,Burundi,,República de Burundi,burundesa,,Other or unspecified court,,,,,
1,1,32,95,Supreme Council of the Magistracy,Cambodia,Camboya,,República del Reino de Camboya,camboyana,,Supreme Council of the Magistracy,,,,Consejo Nacional Supremo,
1,2,32,96,Supreme Court,Cambodia,Camboya,,República del Reino de Camboya,camboyana,,Supreme Court,,,,Corte Suprema,
1,9,32,97,Other court,Cambodia,Camboya,,República del Reino de Camboya,camboyana,,Other or unspecified court,,,,,
1,1,33,98,Supreme Court,Cameroon,Camerún,,República de Camerún,camerunesa,,Supreme Court,,Cour Suprême,,Tribunal Supremo,
1,2,33,99,High Court of Justice,Cameroon,Camerún,,República de Camerún,camerunesa,,High Court of Justice,,Haute Cour de justice,,Alto Tribunal de Justicia,
1,9,33,100,Other court,Cameroon,Camerún,,República de Camerún,camerunesa,,Other or unspecified court,,,,,
1,1,34,101,Supreme Court of Canada,Canada,Canadá,,Canadá,canadiense,,Supreme Court of Canada,,,,Tribunal Supremo de Canadá,
1,2,34,102,Federal Court of Canada,Canada,Canadá,,Canadá,canadiense,,Federal Court of Canada,,,,Corte Federal de Canadá,
1,9,34,103,Other court,Canada,Canadá,,Canadá,canadiense,,Other or unspecified court,,,,,
1,1,35,104,Supreme Tribunal of Justice,Cape Verde,Cabo Verde,,República de Cabo Verde,caboverdiana,,Supreme Tribunal of Justice,,,,Tribunal Superior de Justicia,
1,2,35,105,Court of Audit,Cape Verde,Cabo Verde,,República de Cabo Verde,caboverdiana,,Court of Audit,,,,Corte de Auditoría,
1,9,35,106,Other court,Cape Verde,Cabo Verde,,República de Cabo Verde,caboverdiana,,Other or unspecified court,,,,,
1,1,36,107,Grand Court,Cayman Islands,Islas Caimán,,Islas Caimán,caimanesa,,Grand Court,,,,Corte Suprema,
1,2,36,108,Cayman Islands Court of Appeal,Cayman Islands,Islas Caimán,,Islas Caimán,caimanesa,,Cayman Islands Court of Appeal,,,,Corte de Apelaciones,
1,9,36,110,Other court,Cayman Islands,Islas Caimán,,Islas Caimán,caimanesa,,Other or unspecified court,,,,,
1,1,37,111,Constitutional Court,Central African Republic,República Centroafricana,,República Centroafricana,centroafricana,,Constitutional Court,,,,Corte Constitucional,Tribunal Constitucional
1,2,37,112,Supreme Court,Central African Republic,República Centroafricana,,República Centroafricana,centroafricana,,Supreme Court,,,,Corte Suprema,Tribunal Supremo
1,3,37,113,Court of Appeal,Central African Republic,República Centroafricana,,República Centroafricana,centroafricana,,Court of Appeal,,,,Corte de Apelaciones,Tribunal de Apelaciones
1,9,37,114,Other court,Central African Republic,República Centroafricana,,República Centroafricana,centroafricana,,Other or unspecified court,,,,,
1,1,38,115,Constitutional Council,Chad,Chad,,República del Chad,chadiana,,Constitutional Council,,Conseil Constitutionnel,,Consejo Constitucional,
1,2,38,116,Supreme Court,Chad,Chad,,República del Chad,chadiana,,Supreme Court,,Cour Suprême,,Tribunal Supremo,Corte Suprema
1,3,38,117,High Court of Justice,Chad,Chad,,República del Chad,chadiana,,High Court of Justice,,Haute Cour de justice,,Alto Tribunal de Justicia,Alta Corte
1,9,38,118,Other court,Chad,Chad,,República del Chad,chadiana,,Other or unspecified court,,,,,
1,1,39,119,Constitutional Tribunal,Chile,Chile,,República de Chile,chilena,,Constitutional Tribunal,,Tribunal constitucional,,Tribunal constitucional,
1,2,39,120,Supreme Court,Chile,Chile,,República de Chile,chilena,,Supreme Court,,Corte Suprema de Justicia,,Corte Suprema de Justicia,
1,9,39,121,Other court,Chile,Chile,,República de Chile,chilena,,Other or unspecified court,,,,,
1,1,40,122,Supreme People's Court,China,China,,República Popular de China,china,,Supreme People's Court,,Zuigao Renmin Fayuan,,Tribunal Popular Supremo,
1,2,40,123,High People's Courts,China,China,,República Popular de China,china,,High People's Courts,,Gaoji Renmin Fayuan,,Alta Corte Popular,
1,9,40,124,Other court,China,China,,República Popular de China,china,,Other or unspecified court,,,,,
1,1,41,125,Constitutional Court,Colombia,Colombia,,República de Colombia ,colombiana,,Constitutional Court,,Corte Constitucional,,Corte Constitucional,
1,3,41,126,Supreme Court of Justice,Colombia,Colombia,,República de Colombia ,colombiana,,Supreme Court of Justice,,Corte Suprema de Justicia,,Corte Suprema de Justicia,
1,9,41,127,Other court,Colombia,Colombia,,República de Colombia ,colombiana,,Other or unspecified court,,,,,
1,1,42,128,Supreme Court,Comoros,Comores,Comoras,Unión de las Comores,comorense,,Supreme Court,,,,Suprema Corte  ,
1,9,42,129,Other court,Comoros,Comores,Comoras,Unión de las Comores,comorense,,Other or unspecified court,,,,,
1,1,43,134,Supreme Court,Costa Rica,Costa Rica,,República de Costa Rica,costarricense,,Supreme Court,,,,Corte Suprema de Justicia,
1,9,43,135,Other court,Costa Rica,Costa Rica,,República de Costa Rica,costarricense,,Other or unspecified court,,,,,
1,1,44,136,Supreme Court ( Includes 4 chambers),Cote d'Ivoire,Costa de Marfil,,República de Costa de Marfil,marfileña,,Supreme Court,,,,Corte Suprema,Tribunal Supremo
1,9,44,137,Other court,Cote d'Ivoire,Costa de Marfil,,República de Costa de Marfil,marfileña,,Other or unspecified court,,,,,
1,1,45,138,Constitutional Court,Croatia,Croacia,,República de Croacia,croata,,Constitutional Court,,Ustavni Sud ,,Corte Constitucional,Tribunal Constitucional
1,2,45,139,Supreme Court,Croatia,Croacia,,República de Croacia,croata,,Supreme Court,,Sudska praksa,,Suprema Corte,Tribunal Supremo
1,9,45,140,Other court,Croatia,Croacia,,República de Croacia,croata,,Other or unspecified court,,,,,
1,1,46,141,People's Supreme Court,Cuba,Cuba,,República de Cuba,cubana,,People's Supreme Court,,,,Tribunal Supremo Popular,
1,9,46,142,Other court,Cuba,Cuba,,República de Cuba,cubana,,Other or unspecified court,,,,,
1,1,47,143,Supreme Court,Cyprus,Chipre,,República de Chipre,chipriota,,Supreme Court,,??????? ??????????,,Tribunal Supremo,
1,9,47,144,Other court,Cyprus,Chipre,,República de Chipre,chipriota,,Other or unspecified court,,,,,
1,1,48,145,Constitutional Court,Czech Republic,República Checa,,República Checa,checa,,Constitutional Court,,Ústavní soud,,Corte Constitucional,
1,2,48,146,Supreme Court,Czech Republic,República Checa,,República Checa,checa,,Supreme Court,,Nejvy??y ?eské republiky,,Tribunal Supremo,
1,9,48,147,Other court,Czech Republic,República Checa,,República Checa,checa,,Other or unspecified court,,,,,
1,1,49,130,Supreme Court,Democratic Republic of the Congo,República Democrática del Congo,,República Democrática del Congo,congoleña,,Supreme Court,,Cour Supreme de Justice,,Suprema Corte de Justicia,Tribunal Supremo de Justicia
1,9,49,131,Other court,Democratic Republic of the Congo,República Democrática del Congo,,República Democrática del Congo,congoleña,,Other or unspecified court,, ,,,
1,1,50,148,Supreme Court,Denmark,Dinamarca,,Reino de Dinamarca,danesa,,Supreme Court,,Hoejesteret,Højesteret,Tribunal Supremo,
1,9,50,149,Other court,Denmark,Dinamarca,,Reino de Dinamarca,danesa,,Other or unspecified court,,,,,
1,1,51,150,Constitutional Court,Djibouti,Djibouti,Yibuti,República de Yibuti,yibutiana,,Constitutional Court,,,,Corte Constitucional,Tribunal Constitucional
1,2,51,151,Supreme Court,Djibouti,Djibouti,Yibuti,República de Yibuti,yibutiana,,Supreme Court,,,,Corte Suprema,Tribunal supremo
1,9,51,152,Other court,Djibouti,Djibouti,Yibuti,República de Yibuti,yibutiana,,Other or unspecified court,,,,,
1,1,52,153,Eastern Caribbean Supreme Court,Dominica,Dominica,,Commonwealth de Dominica,dominiquesa,,Eastern Caribbean Supreme Court,,,,Corte Suprema del Caribe Oriental,
1,2,52,154,Court of Appeal,Dominica,Dominica,,Commonwealth de Dominica,dominiquesa,,Court of Appeal,,,,Corte de Apelaciones,Tribunal de Apelaciones
1,3,52,155,High Court,Dominica,Dominica,,Commonwealth de Dominica,dominiquesa,,High Court,,,,Corte Suprema,Tribunal Supremo
1,9,52,156,Other court,Dominica,Dominica,,Commonwealth de Dominica,dominiquesa,,Other or unspecified court,,,,,
1,1,53,157,Supreme Court,Dominican Republic,República Dominicana,,República Dominicana,dominicana,,Supreme Court,,Suprema Corte,,Suprema Corte de Justicia,
1,9,53,158,Other court,Dominican Republic,República Dominicana,,República Dominicana,dominicana,,Other or unspecified court,,,,,
1,1,54,159,Constitutional Court,Ecuador,Ecuador,,República del Ecuador,ecuatoriana,,Constitutional Court,,Corte Constitucional,,Corte Constitucional,
1,2,54,160,National Court of Justice,Ecuador,Ecuador,,República del Ecuador,ecuatoriana,,National Court of Justice,,Corte Nacional de Justicia,,Corte Nacional de Justicia,Corte Suprema de Justicia
1,9,54,161,Other court,Ecuador,Ecuador,,República del Ecuador,ecuatoriana,,Other or unspecified court,,,,,
1,1,55,162,Supreme Constitutional Court,Egypt,Egipto,,República Árabe de Egipto,egipcia,,Supreme Constitutional Court,,Mahkramat al-Naqd,,Corte Suprema Constitucional,
1,2,55,163,Court of Cassation,Egypt,Egipto,,República Árabe de Egipto,egipcia,,Court of Cassation,,Madjmu at al-kawa id al-kanuniya allati karraratha mahkamat an-nakd,,Corte de Casación,
1,9,55,164,Other court,Egypt,Egipto,,República Árabe de Egipto,egipcia,,Other or unspecified court,,,,,
1,1,56,165,Supreme Court of Justice,El Salvador,El Salvador,,República de El Salvador,salvadoreña,,Supreme Court of Justice,,Corte Suprema de Justicia,,Corte Suprema de Justicia,
1,9,56,166,Other court,El Salvador,El Salvador,,República de El Salvador,salvadoreña,,Other or unspecified court,,,,,
1,1,57,167,Supreme Tribunal,Equatorial Guinea,Guinea Ecuatorial,,República de Guinea Ecuatorial,ecuatoguineana,,Supreme Tribunal,,,,Corte Suprema,Tribunal Supremo
1,9,57,168,Other court,Equatorial Guinea,Guinea Ecuatorial,,República de Guinea Ecuatorial,ecuatoguineana,,Other or unspecified court,,,,,
1,1,58,169,High Court,Eritrea,Eritrea,,Estado de Eritrea,eritrea,,High Court,,,,Alta Corte ,
1,9,58,170,Other court,Eritrea,Eritrea,,Estado de Eritrea,eritrea,,Other or unspecified court,,,,,
1,1,59,171,Supreme Court,Estonia,Estonia,,República de Estonia,estonia,,Supreme Court,,Riigikohus,,Corte Suprema,Tribunal Supremo
1,9,59,172,Other court,Estonia,Estonia,,República de Estonia,estonia,,Other or unspecified court,,,,,
1,1,60,173,Federal Supreme Court,Ethiopia,Etiopía,,República Federal Democrática de Etiopía,etíope,,Federal Supreme Court,,,,Corte Suprema Federal,
1,9,60,174,Other court,Ethiopia,Etiopía,,República Federal Democrática de Etiopía,etíope,,Other or unspecified court,,,,,
1,1,61,175,The Faroese Court,Faeroe Islands,Islas Feroe,,Islas Feroe,feroés,,The Faroese Court,,,,Corte,
1,9,61,176,Other court,Faeroe Islands,Islas Feroe,,Islas Feroe,feroés,,Other or unspecified court,,,,,
1,1,62,336,Supreme Court,Federated States of Micronesia,Estados Federados de Micronesia,,Estados Federados de Micronesia,micronesia,,Supreme Court,,,,Corte Suprema,
1,9,62,337,Other court,Federated States of Micronesia,Estados Federados de Micronesia,,Estados Federados de Micronesia,micronesia,,Other or unspecified court,,,,,
1,1,63,177,Supreme Court,Fiji,Fiji,Fiyi,República de las Islas Fiyi,fiyiana,,Supreme Court,,,,Corte Suprema,
1,2,63,178,Court of Appeal,Fiji,Fiji,Fiyi,República de las Islas Fiyi,fiyiana,,Court of Appeal,,,,Corte de Apelaciones,
1,3,63,179,High Court,Fiji,Fiji,Fiyi,República de las Islas Fiyi,fiyiana,,High Court,,,,Alta Corte,
1,9,63,180,Other court,Fiji,Fiji,Fiyi,República de las Islas Fiyi,fiyiana,,Other or unspecified court,,,,,
1,1,64,181,Supreme Court,Finland,Finlandia,,República de Finlandia,finlandesa,,Supreme Court,,korkein oikeus,,Tribunal Supremo,
